,company,description,est_salary,exp_lvl,link,location,post_time,real_salary_lower,real_salary_upper,title
0,Ashdown Consulting,"Proven experience in mentoring data centric users and researchers in Data Science methodologies, practices and processes....",200000.0,mid_level,http://www.indeed.com/rc/clk?jk=c2e1df72c13740d0&fccid=e7a933cf888bdc68,Sydney NSW,7 days ago,1000.0,,Senior Data Scientist
1,M2 Telecommunications,"Would you like to create a team in a greenfield analytics environment, supported by analysts, data scientists and data enigneers to deliver insights to key...",150000.0,mid_level,http://www.indeed.com/rc/clk?jk=70912414ed038c91&fccid=acc1eb1e12136cb0,Melbourne VIC,2 days ago,,,Reporting Analytics Manager - Melbourne
2,FourQuarters,Data Scientist required to join an innovative Advanced Analytics function within a leading financial services business....,150000.0,mid_level,http://www.indeed.com/rc/clk?jk=bcba7b0b488c4256&fccid=3c9bc1385272ea26,Melbourne VIC,3 days ago,150000.0,,Data Scientist - CBD-based
3,Cardno,"Data analysis, interpretation and assessment to achieve project goals. Cardno's Melbourne based Water and Environment team are looking to grow our capabilities...",150000.0,mid_level,http://www.indeed.com/rc/clk?jk=2e3906728d16a14e&fccid=e43715ec04b6eb34,Melbourne VIC,16 days ago,,,Senior Water Engineer / Scientist
4,Cover Genius,"You will be working with World-class software engineers, data scientists, UX specialists and Founders who have come from Google and Yahoo!...",150000.0,mid_level,http://www.indeed.com/rc/clk?jk=73da7a45124850ca&fccid=f2f087e2c0d66903,Sydney NSW,30+ days ago,100000.0,200000.0,"Frontend Developer, UI Designer, UX - Multiple Roles"
5,Correlate Resources,As a Media Data Scientist (Marketing Mix & Econometric Modelling) the responsibilities of your role include but not be limited to;...,140000.0,mid_level,http://www.indeed.com/rc/clk?jk=aecb52feef944d5a&fccid=f5ea592e52f5385b,Sydney NSW,1 day ago,140000.0,,Data Scientist (Marketing Mix & Econometrics)
6,Harvey Nash,"The ideal person for this will have a great understanding of data & cloud data and how to read it. Their aim is to ""help enterprises of all sizes to generate...",140000.0,mid_level,http://www.indeed.com/rc/clk?jk=3a33b6de6df9677a&fccid=414e3518d9d6b338,Sydney Central Business District NSW,7 days ago,120000.0,170000.0,Senior Data Analyst / Data scientist
7,M2 Telecommunications,"Lead other data scientists and data engineers in developing solutions that provide our Marketing, Sales, Product Management, Customer Operations, Energy and...",140000.0,mid_level,http://www.indeed.com/rc/clk?jk=63c40fc41400081e&fccid=acc1eb1e12136cb0,Melbourne VIC,9 days ago,,,Data Scientist Team Leader - Melbourne
8,Correlate Resources,Leading a team of Data Scientists and Analysts working on a series of sophisticated Media/Marketing optimisation projects....,140000.0,mid_level,http://www.indeed.com/rc/clk?jk=693b79bb0eab50a0&fccid=f5ea592e52f5385b,Sydney NSW,13 days ago,140000.0,,"Analytics Manager (Media, Marketing Mix & Econometric Modelling)"
9,SEQ Recruitment,"Data integration & data mining. Analytics on integrated real time data sources (SCADA/DCS, sensors). Analytics using complex big data technology architectures...",140000.0,mid_level,http://www.indeed.com/rc/clk?jk=498c7582339e9950&fccid=31a878795a32f1ff,Brisbane QLD,11 days ago,,,"Technical Lead, Analytics - Resources Sector"
10,Ambiata,"Ambiata works in a challenging and complex field, bringing data and personalisation together at a massive scale....",140000.0,mid_level,http://www.indeed.com/rc/clk?jk=4a792fe85665671c&fccid=c26221c8d7043320,Sydney NSW,24 days ago,,,"We are looking for team members with cross-disciplinary skills, to join our team in Sydney."
11,TabCorp Holdings,Development to data scientist. Of Data Science & Products. Drive creation of data products to. You care about data and are curious about the....,140000.0,mid_level,http://www.indeed.com/rc/clk?jk=a941fe25fb593c9c&fccid=03ca15d10acd1376,Sydney NSW,30+ days ago,,,Head of Data Science & Products
12,KPMG,"Including the enterprise data warehouse, big data, BI & analytics, content and data management. Are you a data and analytics enthusiast looking to utilise your...",140000.0,mid_level,http://www.indeed.com/rc/clk?jk=83f6f277f181ffdf&fccid=2dd390c3a48a7ed0,Sydney NSW,30+ days ago,,,KPMG Analytics and Information Management
13,Bluefin Resources,5+ years' experience in data science/advanced analytics. Source new data sources to continuously improve model output....,130000.0,mid_level,http://www.indeed.com/rc/clk?jk=f1dc3598c9eda45e&fccid=22e6782d3766aa04,Sydney NSW,1 day ago,,,Data Scientist - Credit Risk Management
14,Caltex,"Work in a team with highly talented data scientists in an agile environment. Reporting to the Data Science Manager, you will be responsible for providing...",130000.0,mid_level,http://www.indeed.com/rc/clk?jk=189b6e2b73d27520&fccid=dc02a8db6b67bd21,Sydney Central Business District NSW,6 days ago,,,Data Scientist - Analyst
15,Naviro Pty Ltd,You will work closely with data scientists to create data infrastructure based on your extensive knowledge of the data and engineering best practices....,130000.0,mid_level,http://www.indeed.com/rc/clk?jk=ab1d25bcfd2481a8&fccid=0d3a3c9e16872169,Sydney NSW,15 days ago,,,Data Ops Engineer
16,M2 Telecommunications,"2+ years of experience with dimensional data modelling and schema design in data warehouses. Design, build and maintain efficient and reliable data pipelines to...",130000.0,mid_level,http://www.indeed.com/rc/clk?jk=579a6e08290b29c9&fccid=acc1eb1e12136cb0,Melbourne VIC,17 days ago,,,Data Engineer - Melbourne
17,Infopeople,Provide graphic interface/visual design by working with front-end application engineers and data scientists....,130000.0,mid_level,http://www.indeed.com/rc/clk?jk=e3f11de6af055013&fccid=06921d11c91c117f,Sydney NSW,30+ days ago,,,User Experience / UX Designer
18,Cover Genius,"You will be working with World-class software engineers, data scientists, UX specialists and Founders who have come from Google and Yahoo!...",130000.0,mid_level,http://www.indeed.com/rc/clk?jk=00e295e71fef9f4d&fccid=f2f087e2c0d66903,Sydney NSW,30+ days ago,,,Growth Team (Several Roles)
19,Technology Recruiting Solutions,"The Data Scientist role will work with different divisions in supporting the business by providing Data Science Solutions covering data usage, data insights,...",120000.0,mid_level,http://www.indeed.com/rc/clk?jk=5822d0b46462d34e&fccid=ef482444c171c4a3,Melbourne VIC,1 day ago,120000.0,130000.0,Data Scientist
20,NSW Government,The Data Scientist role leads complex data analytics projects for the newly created NSW Data Analytics Centre....,120000.0,mid_level,http://www.indeed.com/rc/clk?jk=83a8edad7ee2d598&fccid=e60642a4b38e634f,Sydney NSW,6 days ago,118943.0,137557.0,Data Scientist
21,"Department of Finance, Services and Innovation",The Data Scientist role leads complex data analytics projects for the newly created NSW Data Analytics Centre....,120000.0,mid_level,http://www.indeed.com/rc/clk?jk=810c8982784a6f3f&fccid=b3830e674e6ef027,Sydney NSW,6 days ago,118943.0,137557.0,Data Scientist
22,Cardno,"Data analysis, interpretation and assessment to achieve project goals. Cardno's Melbourne based Water and Environment team are looking to grow our capabilities...",120000.0,mid_level,http://www.indeed.com/rc/clk?jk=67cf60218e6c80cc&fccid=e43715ec04b6eb34,Victoria,16 days ago,,,Senior Water Engineer / Scientist
23,Aurec Human Capital Group,You will be joining a collaborative team of Data Scientists to act as SME for the development of the Big Data Tool Kit (Hadoop / Spark etc) utilising a leading...,120000.0,mid_level,http://www.indeed.com/rc/clk?jk=231d0f57f68f5f31&fccid=07536a6769894b49,Sydney NSW,21 days ago,,,Big Data Engineer
24,M2 Telecommunications,"2+ years of experience with dimensional data modelling and schema design in data warehouses. Design, build and maintain efficient and reliable data pipelines to...",120000.0,entry_level,http://www.indeed.com/rc/clk?jk=3302c6841c407a3e&fccid=acc1eb1e12136cb0,Melbourne VIC,13 days ago,,,Data Engineer/Data Scientist - Melbourne
25,Xpand Group,"Data Scientist - Machine Learning, C++, python, Statistical Trading, Financial Tech. We are looking for an experienced Data Scientist, to work within the...",110000.0,mid_level,http://www.indeed.com/rc/clk?jk=8caadb8c287d6458&fccid=cce05571ecce6882,Sydney NSW,Today,,,"Data Scientist - Machine Learning, C++, python, Statistical Trading, Financial T"
26,NSW Government,Senior Scientist (Quality/Environmental Forensics). Provides high quality advice to customers of the branch based on rigorous scientific analyses and...,110000.0,mid_level,http://www.indeed.com/rc/clk?jk=2bb4cdf5310e36a4&fccid=e60642a4b38e634f,Sydney NSW,20 days ago,106776.0,117751.0,Senior Scientist (Quality/Environmental Forensics)
27,Ambiata,"Getting to build out rich interfaces that expose Ambiata’s deep technical expertise, including high-volume data, visualisations and predictive analytics....",110000.0,mid_level,http://www.indeed.com/rc/clk?jk=fcdfed6e3b2d4ae6&fccid=c26221c8d7043320,Sydney NSW,24 days ago,,,"We are looking for team members with cross-disciplinary skills, to join our team in Sydney."
28,Monash University,PD - Data Visualisation Designer/Developer. Bring strategic insights to life with data visualisation. Working hand in glove with data scientists and business...,110000.0,mid_level,http://www.indeed.com/rc/clk?jk=adb509dfbe6d1fb4&fccid=32277d92eb8a3eca,Clayton VIC,30+ days ago,105103.0,116015.0,Data Visualisation Designer/Developer
29,Sportsbet.com.au,"Commercial Analytics, Data Scientists, Analytics Capability and Self Service. @ Sportsbet excels at data analysis!...",110000.0,mid_level,http://www.indeed.com/rc/clk?jk=f3fd0c9d28903e8f&fccid=8e3646ac1455f033,Melbourne VIC,30+ days ago,,,Head of Project Analytics
30,Auto & General Insurance,"As part of Pricing you will work closely with a small team of Actuaries and other data scientists to perform leading edge, high-quality analytics across the...",110000.0,mid_level,http://www.indeed.com/rc/clk?jk=df7dffe3e350d876&fccid=2f39c0c27c26a8cb,Brisbane QLD,30+ days ago,,,Pricing Actuary
31,Beagle Creative Recruitment PTY Ltd,The Beagles are on the hunt for a Business Analytics Manager/ Data Scientist to jump on board at one of Australia's most successful Startups in the Sharing...,110000.0,mid_level,http://www.indeed.com/rc/clk?jk=45e53fa7d891d857&fccid=136c1f52ec22c43b,Sydney NSW,30+ days ago,110000.0,,Product Insights Analyst
32,Leadbolt,"Work with teams across mobile engineering, creative, data scientist, and client teams for creating and analysing products....",110000.0,mid_level,http://www.indeed.com/rc/clk?jk=73d3af062d8caf95&fccid=ffa428ae30ba1505,Bondi Junction NSW,30+ days ago,,,Product Manager
33,Torii,"You will be working closely with Data Scientists on helping them make the most of vast data processed. They might have less load than Google, but they process...",100000.0,mid_level,http://www.indeed.com/rc/clk?jk=4743e6a494c6ae6f&fccid=1cf8cba0b835211a,Brunswick East VIC,2 days ago,,,Ruby on Rails Developer – Mid and Senior
34,Bluefin Resources,Unique opportunities have transpired for experienced data scientists to work for a global proprietary trading firm within their specialist statistical arbitrage...,100000.0,mid_level,http://www.indeed.com/rc/clk?jk=f27a365b9d930fe6&fccid=22e6782d3766aa04,Sydney NSW,6 days ago,,,Data Scientist - C++/Python
35,Fairfax Media,"You will be working in a progressive, highly motivated team which is formed by a number skilled data engineers and data scientists....",100000.0,mid_level,http://www.indeed.com/rc/clk?jk=bef0075c34d438de&fccid=5b49691a6a09e282,Sydney NSW,13 days ago,,,Technical Data Analytics Engineer
36,Science Division,"This position provides an opportunity to join a team of scientists who monitor the health of NSW rivers, provide advice on aquatic ecology and communicate river...",100000.0,mid_level,http://www.indeed.com/rc/clk?jk=a56584d153e3e836&fccid=05fbd9831b9fd643,Sydney NSW,13 days ago,,,Scientist (Estuaries & Catchments)
37,AGL Energy,"Talented data scientist, fascinated by advanced analytic techniques, want to. Customer-related data), through data mining, cleansing and enrichment, and....",100000.0,mid_level,http://www.indeed.com/rc/clk?jk=0d01c297c64b07ea&fccid=04bdf85f0d53c42e,Melbourne City Centre VIC,16 days ago,,,Data Scientist
38,Science Division,Provides high quality advice to customers of the branch based on rigorous scientific analyses and interpretation of data. Environment Officer Class 10....,100000.0,mid_level,http://www.indeed.com/rc/clk?jk=f64839496f3c6fef&fccid=05fbd9831b9fd643,Sydney NSW,20 days ago,,,Senior Scientist (Quality/Environmental Forensics)
39,Premiumit Recruitment.,"Experience with real-time data streams. You will be working in the sporting industry, joining a global analytics team and working closely with data scientists...",100000.0,mid_level,http://www.indeed.com/rc/clk?jk=4064acbeba2a9b9b&fccid=9f3e4a468cf0aac2,Melbourne VIC,24 days ago,100000.0,,"Senior Analyst Programmer, C#, C++, embedded Linux/Unix systems"
40,HDR,"Familiarity with industry and client standards for BIM content, data management and exchange. We create an unshakable foundation for progress because our...",100000.0,mid_level,http://www.indeed.com/rc/clk?jk=01f65021bc8a5bc8&fccid=c3725c584175877c,Sydney NSW,30+ days ago,,,Digital Design Leader for BIM Content
41,WSP | Parsons Brinckerhoff,You will work with a team of experienced environmental scientists and engineers. Â€¢Competency in data QA and interpretation and able to prepare descriptive and...,100000.0,mid_level,http://www.indeed.com/rc/clk?jk=9b8569109874421a&fccid=a0ecbc8328064f26,Sydney NSW,30+ days ago,,,Environmental Scientist/ Engineer â€“ Contaminated Land
42,CBH Resources,"Compiling and evaluating data, interpreting codes of practice, and writing reports concerning survey measurement, land use and tenure....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=7ba784174dd4b9f1&fccid=08ff078846d3f0a8,Cobar NSW,1 day ago,,,Mine Surveyor
43,Ambition,They are seeking a Data Scientist to join their team. My client is a well-known organisation with a strong focus on Data and Analytics....,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=dcebef81a7affde9&fccid=c9cd3dc1c74035d6,Sydney NSW,9 days ago,,,Data Scientist
44,Infopeople,"In this role you will be working with highly skilled and experienced team of Data Scientists and functional programmers, developing cutting edge solutions and...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=7c6f36e4529ed20d&fccid=06921d11c91c117f,Sydney NSW,8 days ago,,,Scala Developer/Big Data Engineer - Multiple roles - Sydney
45,NSW Government,"Scientist (Estuaries & Catchments). This position provides an opportunity to join a team of scientists who monitor the health of NSW rivers, provide advice on...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=8b8d708bc78c25fc&fccid=e60642a4b38e634f,Sydney NSW,13 days ago,86662.0,95750.0,Scientist (Estuaries & Catchments)
46,Just Digital People,"The development team currently consists of 4, comprising Python back-end developers, front-end and a data scientist....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=97acf27baf71efdc&fccid=a7700731b3d1495c,Sydney NSW,10 days ago,90000.0,,Python Software Engineer
47,Botanic Gardens & Centennial Parklands,"How did you select target sites, sample populations, handle relevant data, and process material and data on your return to the laboratory?...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=6368cc4909f8aaa5&fccid=aa117145ea507e2f,Sydney NSW,9 days ago,,,"Technical Officer, Biodiversity Sampling"
48,Virgin Australia,"The role of a Data Scientist. Ability to present data and. Based in Sydney City, we now have the rare opportunity for a Data Scientist to join us and embark on...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=e878a8a83d2ae2a2&fccid=6fc61b1e19b99539,Sydney NSW,14 days ago,,,Data Scientist
49,Clemenger Group,"In joining us you'll have the opportunity to work with skill sets beyond what you would find in a media agency, including brand and innovation planners, UX...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=4a26c4300eb85216&fccid=4980c643ed332332,Melbourne VIC,17 days ago,,,Media Account Manager
50,NSW Health Pathology,"Experienced in computer data entry/analysis methods and PC-based applications, including Microsoft Office suite....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=e013a8d2cde1533a&fccid=8645ab12ae1d8409,Sydney NSW,27 days ago,93008.0,,Senior Hospital Scientist
51,The University of Queensland,"We welcome applications from computer scientists with expertise in databases, data quality, machine learning, data management, multimedia and pattern...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=ad55f56f5871564c&fccid=344dde58d057a104,St Lucia QLD,21 days ago,89459.0,106232.0,Lecturer/Senior Lecturer/Associate Professor in Data Science (ITEE)
52,Cover Genius,"You will be working with World-class software engineers from a range of backgrounds including data scientists, former CTOs who have seen major exists, founders...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=a354aa97b32ea4a3&fccid=f2f087e2c0d66903,Sydney NSW,30+ days ago,,,Mid to Senior PHP Programmers
53,Driftwood Group,"Data Analytics , Mathematics, & Computer Science Data curious? Part of the process involves analysing big data to spot gaps, trends and changes coming before...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=d3b898823d37204c&fccid=dccf997e43ef4751,Sydney NSW,30+ days ago,,,Data Scientist | Learning Analytics | Education Sector
54,CPR Pharma Services Pty Ltd,Demonstrate efficient problem solving and scientific data interpretation abilities. Provide supervision of analytical scientists and technical officer staff on...,90000.0,mid_level,http://www.indeed.com/cmp/CPR-Pharma-Services-Pty-Ltd/jobs/Principal-Scientist-e9842a1b32bbdd9e?r=1&fccid=57d5e7f0641b3584,Adelaide SA,30+ days ago,95000.0,,Principal Scientist - Immunoassay Development
55,The Cotton On Group,The Data Scientist will join a growing team focused on delivering experiences that our customers love and delivering an insights framework and programs that...,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=f772d998a4129358&fccid=6db4ddb1c226f4f3,Geelong VIC,30+ days ago,,,Group - Data Scientist
56,ThreatMetrix,"Math majors not required, but you should be comfortable doing data analysis and making policy recommendations that will be reviewed by internal and customer...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=1dace4f5e19a50c8&fccid=52c964d21d0bf9fc,Sydney NSW,30+ days ago,,,Technical Account Manager - Sydney
57,Cover Genius,"You will be working with World-class software engineers, data scientists, UX specialists and Founders who have come from Google and Yahoo!...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=d58f857434033a9b&fccid=f2f087e2c0d66903,Sydney NSW,30+ days ago,70000.0,120000.0,iOS and App Developers
58,Cardno,"Undertake engineering judgement, interpretation and analysis of data to develop and implement best practice to provide practical and commercial solutions....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=a8973aa29c70e23f&fccid=e43715ec04b6eb34,Canberra ACT,30+ days ago,,,Senior Geotechnical Engineer
59,"Department of Economic Development, Jobs, Transpor...","RESEARCH SCIENTIST – FRONT END DEVELOPER (COMPUTATIONAL BIOLOGY). For a confidential discussion, please call Dr Josquin Tibbits, Research Scientist – Molecular...",80000.0,mid_level,http://www.indeed.com/rc/clk?jk=efc3cfb6a3299171&fccid=4e9c3482f39f871e,Melbourne VIC,1 day ago,77418.0,87838.0,Research Scientist - Front End Developer (Computational Biology)
60,NSW Government,Executive Assistant – Data Analytics Centre (DAC). The NSW Data Analytics Centre was established in 2015 to build the Government’s data analytics capability and...,80000.0,mid_level,http://www.indeed.com/rc/clk?jk=b49de7cc5a659415&fccid=e60642a4b38e634f,Sydney NSW,6 days ago,79384.0,87591.0,Executive Assistant
61,"Department of Finance, Services and Innovation",Executive Assistant – Data Analytics Centre (DAC). The NSW Data Analytics Centre was established in 2015 to build the Government’s data analytics capability and...,80000.0,mid_level,http://www.indeed.com/rc/clk?jk=9e39e4429d6257e2&fccid=b3830e674e6ef027,Sydney NSW,6 days ago,79384.0,87591.0,Executive Assistant
62,The Social Research Centre,"Interest in data and data management, analytical techniques, web applications. Data analysis and manipulation on large, complex data sets, including automation....",80000.0,mid_level,http://www.indeed.com/rc/clk?jk=b817aa35fd068023&fccid=cc94dd23597c8877,Melbourne VIC,7 days ago,,,Trainee Analyst / Analyst - Data Science
63,Just Digital People,"The development team currently consists of 4, comprising Python back-end developers, front-end and a data scientist....",80000.0,mid_level,http://www.indeed.com/rc/clk?jk=4c7464c01488f726&fccid=a7700731b3d1495c,Sydney NSW,24 days ago,70000.0,90000.0,Junior - Mid-Level Python Software Engineer
64,Monash University,"Analytical thinking, expert data analysis and critical problem solving skills. Enter the largest and most experienced group of pharmaceutical scientists in...",80000.0,mid_level,http://www.indeed.com/rc/clk?jk=2a2255287cd9c940&fccid=32277d92eb8a3eca,Parkville VIC,30+ days ago,68186.0,92541.0,Research Fellow (GPCR Drug Discovery)
65,Delivery Centric Pty Ltd,"5-10 years experience of interfaces, data migrations, big data, databases. Financial data knowledge preference....",80000.0,mid_level,http://www.indeed.com/cmp/DC--GRS/jobs/Data-Scientist-fe2bcb88609cf570?r=1&fccid=c902ae4b2efaafcf,Sydney NSW,30+ days ago,,,Data Scientist
66,Monash University,The School of Earth Atmosphere and Environment (SEAE) is pleased to welcome applications from talented and ambitious scientists to fill a two-year research...,80000.0,mid_level,http://www.indeed.com/rc/clk?jk=27cfff0d9d0720e5&fccid=32277d92eb8a3eca,Clayton VIC,30+ days ago,68186.0,92541.0,Research Fellow (Atmospheric Science)
67,NSW Health Pathology,"Assess suitability, analyse and present scientific data. Other duties as directed by the department manager and senior hospital scientists....",70000.0,mid_level,http://www.indeed.com/rc/clk?jk=f65db2986006d7ad&fccid=8645ab12ae1d8409,North Shore NSW,Today,,,Hospital Scientist Microbiology
68,Just Digital People,"This development team currently consists of 4, comprising Python back-end developers, front-end and a data scientist....",70000.0,mid_level,http://www.indeed.com/rc/clk?jk=73cf09553427c5f3&fccid=a7700731b3d1495c,Sydney NSW,1 day ago,70000.0,,Grauduate / Junior level Python Software Engineer
69,CSL Behring,"Present scientific data at Group, Project Team and Departmental level. Perform data analysis using routine spreadsheet and graphing platforms and flow cytometry...",70000.0,mid_level,http://www.indeed.com/rc/clk?jk=3c81eb19df411902&fccid=784e2aaf1bc10465,Parkville VIC,2 days ago,,,Scientist - Translational Research
70,ARRB Group,"Collect and analyse data. Contribute to the design of experiments, questionnaires, surveys and other data collection tools....",70000.0,mid_level,http://www.indeed.com/rc/clk?jk=3b532c54426f8743&fccid=606c5c0721b4933c,Vermont South VIC,2 days ago,,,Graduate Behavioural/ Research Scientist: Road Safety
71,NSW Health Pathology,"Demonstrated ability to extract and analyse data relevant to processes and KPI, and deliver reports using effective communication skills....",70000.0,mid_level,http://www.indeed.com/rc/clk?jk=402b89c26c1f457e&fccid=8645ab12ae1d8409,Wyong NSW,6 days ago,,,Hospital Scientist
72,The Sydney Children's Hospitals Network,Demonstrated experience with using other electronic resources for literature searching and using online Genomic databases for data analysis and interpretation....,70000.0,mid_level,http://www.indeed.com/rc/clk?jk=d5685f94d7af9c34&fccid=3607a21d766680c2,Sydney NSW,7 days ago,,,Hospital Scientist (Sydney Genome Diagnostics)
73,Oneflare,"Working with large scale data sets. Big data tools and frameworks including Hadoop, Redshift & Apache Spark....",70000.0,mid_level,http://www.indeed.com/rc/clk?jk=b21e63711d775880&fccid=524cc6038f9a26af,Sydney NSW,30+ days ago,65000.0,90000.0,Data Scientist
74,Queensland Government,Provide advice to the Supervising Scientist in relation to performance of subordinate staff within the unit. Experience in or the ability to rapidly learn pre...,70000.0,entry_level,http://www.indeed.com/rc/clk?jk=d5761d9bd413a425&fccid=033d5c6dd090c8a4,Brisbane QLD,7 days ago,,,Coordinator Central Specimen Reception
75,The Sydney Children's Hospitals Network,Demonstrated experience with using other electronic resources for literature searching and using online Genomic databases for data analysis and interpretation....,60000.0,mid_level,http://www.indeed.com/rc/clk?jk=74c54c6d3b584c86&fccid=3607a21d766680c2,Westmead NSW,7 days ago,,,Hospital Scientist (Sydney Genome Diagnostics)
76,NSW Government,"How did you select target sites, sample populations, handle relevant data, and process material and data on your return to the laboratory?...",60000.0,mid_level,http://www.indeed.com/rc/clk?jk=8f2b0520252fa6ba&fccid=e60642a4b38e634f,Sydney NSW,9 days ago,54983.0,80259.0,"Technical Officer, Biodiversity Sampling"
77,NSW Health Pathology,Performance of data entry and retrieval using the OmniLab LIMS. Assist senior scientists to ensure that the Department’s methods and procedures manuals are...,60000.0,mid_level,http://www.indeed.com/rc/clk?jk=a7f63d8741a456d4&fccid=8645ab12ae1d8409,Randwick NSW,13 days ago,,,Technical Officer
78,Sydney Local Health District,"This involves the preparation and administration of radiopharmaceuticals, patient imaging, collection and analysis of data, quality control on equipment and...",60000.0,mid_level,http://www.indeed.com/rc/clk?jk=8a5205500bf84835&fccid=309045c31bfe124c,Inner West NSW,11 days ago,,,Medical Radiation Scientist/Nuclear Medicine Technologist (Level 1/2) Temp F/T
79,Nano-Nouvelle Pty Ltd,Accurate data record keeping. We are currently seeking to expand our team with a technologist to run the batch production equipment and assist our scientists...,60000.0,mid_level,http://www.indeed.com/cmp/Nano--Nouvelle-Pty-Ltd/jobs/Production-Technician-99a34b9d7ccf55f8?r=1&fccid=9c28c6d254cf6389,Sunshine Coast QLD,30+ days ago,,,Production Technician
80,Suncorp Group,About the Data business. 3-4 years' post grad experience including practising complex data science/multivariate data analysis either in a commercial or academic...,60000.0,senior_level,http://www.indeed.com/rc/clk?jk=ca35769efa6a9bb8&fccid=095b91d1e7195475,Melbourne VIC,Just posted,,,Senior Analyst Data Science
81,Astron Environmental Services,"Database Searches & Data Entry. Reporting to the Principal Scientist, your required tasks may include:. Our core permanent staff comprises experienced and well...",50000.0,mid_level,http://www.indeed.com/cmp/Astron-Environmental-Services/jobs/Graduate-Scientist-a5508f8b6b4a2158?r=1&fccid=3e53699ce91fb0d9,Perth WA,23 days ago,50000.0,,Graduate Scientist
82,Monash University,"You will have the opportunity to work with the scientists within Seeing Machines, including an industry placement, to ensure maximal exposure and training in...",20000.0,mid_level,http://www.indeed.com/rc/clk?jk=15a62f58f82f6d9c&fccid=32277d92eb8a3eca,Clayton VIC,30+ days ago,25392.0,,PhD Scholarship Opportunity in Sleep and Circadian Medicine
